Date,MMWR_week,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Novavax,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_5Plus,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_5Plus,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Novavax,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_5Plus,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Novavax,Series_Complete_Unk_Manuf,Series_Complete_Janssen_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Unk_Manuf_5Plus,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_5Plus,Additional_Doses_5Plus_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Second_Booster,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,Second_Booster_Janssen,Second_Booster_Moderna,Second_Booster_Pfizer,Second_Booster_Unk_Manuf,Administered_Bivalent,Admin_Bivalent_PFR,Admin_Bivalent_MOD,Dist_Bivalent_PFR,Dist_Bivalent_MOD
10/12/2022,41,1762964020,63590100,648763160,1048855360,1755400,0,15650169,16488673,18225604,20109364,105186253,1271438114,1266004514,1222224912,1144729106,337610394,38231027,478320828,753397231,71559,1417469,11386203,11953039,12686639,13042708,17925515,1273047326,538456043,4768,535362903,4931.4,513074537,5121,476818035,5200.5,118142794,5623.1,459109401,4114,457892319,4323.2,439682700,4551.2,408679343,4642.7,103567476,5408.3,34678823,159813606,263891387,22415,401026,34672585,159049038,263748984,399503,34668487,158970065,245634625,387743,34612581,158780844,214900914,363922,4821599,49366631,49227732,148067,223932933,3117.8,223924333,3125.3,221009054,3232.6,211802726,3334.4,132995434,4075.6,73523896,4568.6,94052174,126643472,3125163,108721,29562884,51661450,2356.1,33965764,2806.7,42441,26644994,32838773,43415,,,,,
10/5/2022,40,1745572140,63554200,641683160,1038611180,1723600,0,15493733,16323396,18043251,19908782,104169923,1264028422,1258809948,1215144671,1137854489,334195567,38222094,475682213,748653618,66850,1403647,11305437,11870692,12598644,12949976,17719889,1265629654,537331683,4760.5,534327903,4925.2,512077743,5116.4,475864759,5196,117843598,5622.4,458437053,4106,457296966,4316.1,439117454,4543.9,408135466,4636.2,103352486,5403,34669518,159580279,263516656,20511,397747,34663282,158843458,263373596,396317,34659194,158766972,245286404,385000,34603308,158578707,214572457,361726,4820571,49270698,49110594,147420,223367447,3108.5,223359743,3115.7,220486942,3223.1,211325586,3324.9,132643837,4064.9,73287947,4556.2,93912531,126219160,3126120,106465,28248302,50053188,2277.1,33000988,2722.9,42282,25722013,31105540,41176,,,,,
09/28/2022,39,1727110240,63505400,634032960,1027877980,1693900,0,15331323,16151914,17854252,19701093,103128126,1255071807,1250096515,1206591264,1129564284,330112603,38204327,472658942,742769897,61249,1377392,11222660,11785817,12507306,12853301,17501167,1256733025,536442332,4752.8,533522522,4919.9,511318284,5112.1,475150404,5191.6,117618289,5621.8,457126983,4095.2,456087577,4306,437959952,4533.4,407034864,4625.4,103109986,5397.2,34649302,159152990,262730678,18254,389564,34643076,158452282,262585943,388210,34639000,158379779,244545802,377724,34583162,158193227,213885848,355466,4819020,49177820,48963988,146249,222094625,3097.2,222088066,3104,219272644,3211.2,210183467,3313.9,131998831,4050.8,72903085,4541.3,93523883,125343291,3123532,101009,26631009,48104038,2196.1,31828045,2636.2,41921,24623045,28941103,37872,,,,,
09/21/2022,38,1706120340,63457400,626673660,1014337680,1651600,0,15139250,15951400,17633353,19458597,101963716,1247811997,1243103862,1199748605,1122919064,326849308,38190149,470313002,737889828,55203,1363815,11162424,11725699,12442358,12784000,17333389,1249473100,535821560,4753.2,532991853,4921.5,510821912,5110.7,474676883,5187.8,117496899,5620.6,456508657,4091.2,455579017,4303,437497025,4530.8,406592586,4622.5,102965412,5392.1,34637847,158943867,262410016,15786,386159,34631632,158283431,262263485,384859,34627574,158215512,244263863,374865,34571783,158030365,213622472,353136,4818180,49117771,48881313,145622,221300056,3089.7,221294595,3095,218542534,3202.3,209504998,3305,131566284,4041.7,72627890,4528.7,93287964,124788534,3121949,98923,25308809,46584821,2127.9,30916897,2564.2,41581,23807339,27095770,36123,,,,,
09/14/2022,37,1687434140,63400500,623486360,998962780,1584500,0,14961104,15762091,17423243,19225705,100578388,1240993767,1236575592,1193415924,1116793302,323958727,38174475,468109661,733311459,48767,1349405,11100303,11662915,12375844,12713890,17182489,1242655165,535018919,4746.6,532291667,4916.8,510179006,5106.9,474072922,5184.3,117329723,5620,455813445,4084,454992425,4296.2,436975657,4524.5,406104486,4616.9,102809931,5388,34626309,158735032,262005136,12897,382609,34620108,158121296,261856913,381381,34616067,158058684,243916780,371790,34560336,157875358,213306157,350618,4817263,49062169,48783599,144869,220541280,3083.1,220536771,3087.4,217851192,3195.3,208859260,3298.4,131160261,4033.8,72377952,4519.9,93068675,124253177,3120120,96838,24164995,45332767,2079.5,30176730,2514,41230,23055337,25554171,34668,,,,,
9/7/2022,36,1653452640,63347300,616287060,972369980,1448300,0,14680554,15467163,17098698,18869538,98863309,1236791191,1232650788,1189690687,1113213942,322440035,38161040,466327117,730923017,42025,1337992,11062537,11625770,12338176,12675100,17106913,1238455792,534390856,4741.2,531769980,4912,509715138,5103.7,473644835,5181.2,117230853,5618.8,455271189,4078.7,454536223,4291.2,436589438,4519.5,405750044,4612.6,102716296,5384.5,34615235,158532688,261716845,10039,379546,34609039,157971161,261567772,378360,34605002,157915370,243690222,369334,34549316,157733990,213108920,348625,4816513,49017704,48736274,144275,220043615,3078.4,220039779,3082.7,217416599,3191.1,208453537,3294.6,130915726,4028.7,72229153,4514.6,92884681,123942892,3118476,95298,23526245,44694875,2054.6,29811700,2488.8,40824,22462174,24870692,33831,,,,,
08/31/2022,35,1638208920,63303500,611365240,962142680,1397500,0,14540044,15319780,16935847,18690020,97934893,1235421702,1231507766,1188745055,1112370207,322161375,38147982,465887930,730012169,36305,1337316,11046171,11610641,12323533,12660861,17086604,1237084218,533993501,4737,531479516,4909.4,509485653,5100.7,473450114,5178.7,117198453,5618.5,454758578,4074.9,454074488,4288,436386880,4517.5,405584293,4610.2,102684761,5383.9,34600728,158427638,261329103,7704,377638,34594547,157914059,261181800,376504,34590527,157863658,243557576,367910,34534917,157683690,213011260,347530,4814795,49004750,48720047,144084,219744720,3074.4,219740964,3078.2,217185720,3186,208254493,3289.4,130811851,4023.4,72177701,4509.8,92797090,123732224,3117043,96287,23352636,44388079,2038.8,29636736,2472.8,40968,22285008,24694604,37293,,,,,
08/24/2022,34,1631958420,63272400,609405140,957995080,1285800,0,14478107,15254449,16862851,18608598,97429014,1233232941,1229606422,1187139234,1110924014,321654473,38130397,465179986,728576494,29445,1316619,11018530,11584824,12299605,12637848,17051204,1234886510,533449535,4731,531070110,4904.9,509163702,5097.9,473173876,5176.3,117147662,5617.5,454349083,4070,453735346,4283.4,436127985,4513.9,405363380,4606.8,102640003,5381.3,34587007,158276871,261094504,5370,371165,34580846,157831081,260948064,370099,34576855,157787719,243396593,361917,34521324,157609578,212883952,343930,4813925,48984872,48697060,143406,219201649,3065.9,219198039,3069.2,216763215,3177.8,207903409,3282.3,130636098,4015.6,72091586,4502.4,92663593,123329470,3114358,92354,23074624,43874507,2008.7,29336064,2442.1,40473,22033807,24382025,36234,,,,,
08/17/2022,33,1624747620,63213900,606755040,953586480,1175100,17100,14399203,15170888,16769298,18503787,96695233,1230495162,1227206656,1185092258,1109075022,320977452,38109603,464279586,726779491,24270,1302212,10987356,11555094,12272099,12611266,17007279,1232143367,532795815,4724.1,530574044,4900.5,508774439,5094.1,472840126,5173,117085052,5616,453878450,4064.1,453345284,4277.7,435822955,4509.8,405103279,4603.1,102582466,5378.9,34571077,158100983,260822130,4686,367297,34564932,157732819,260676628,366303,34560954,157696731,243202287,358726,34505490,157520620,212731783,341425,4812912,48958664,48667529,142711,218545568,3056.9,218542154,3059.4,216250195,3169.5,207477234,3274.3,130414070,4008.4,71980866,4494.3,92495725,122846834,3111237,90044,22699352,43183287,1974.7,28930646,2405.6,39889,21686349,23971470,34932,,,,,
8/10/2022,32,1617077920,63184800,604365140,948502580,1025300,100,14313498,15079974,16667597,18389864,95877861,1227607122,1224668561,1182930035,1107124957,320243346,38087745,463325081,724885217,19769,1289310,10960376,11530002,12248410,12587965,16965265,1229248715,532099218,4719.5,530040637,4896.4,508361405,5091.8,472486892,5171,117011884,5615.3,453411779,4059.5,452963671,4273.6,435517039,4506.1,404840165,4600.1,102519280,5376.6,34554887,157916610,260560505,5093,363852,34548746,157630913,260416075,362914,34544764,157601858,243010564,355821,34489363,157427508,212580456,339094,4811818,48929576,48635280,141988,217845420,3049.8,217842140,3051.7,215704106,3163.4,207027316,3269.5,130172201,4003.1,71861278,4489.8,92323722,122323981,3108276,87890,22299699,42440665,1940.5,28492739,2368.8,39309,21311345,23538836,33589,,,,,
