Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days,Second_Booster_Vax_pct_agegroup,Second_Booster_Pop_Pct_known,Second_Booster_Pop_Pct_US,Second_Booster_Pop_Pct_known_Last14Days,Second_Booster,Second_Booster_Last14Days
10/26/2022,Ages_50-64_yrs,60363680,23.7,22.7,52800699,94.8,82.9,24.2,23.3,56.2,26.9,24.2,25.1,29690317,125315,32.5,34.8,34.8,42.1,9664133,519214
10/26/2022,Ages_<2yrs,455606,0.2,0.2,166951,5.9,2.2,0.1,0.1,,,,,,,,,,,,
10/26/2022,Ages_18-24_yrs,24710855,9.7,9.3,20083139,80.8,65.7,9.2,8.8,34.4,6.3,9.2,5,6900849,25154,,,,,,
10/26/2022,Ages_2-4_yrs,1147495,0.5,0.4,521381,9.5,4.3,0.2,0.2,,,,,,,,,,,,
10/26/2022,Ages_5-11_yrs,11149989,4.4,4.2,9115350,38.8,31.7,4.2,4,16.1,1.3,4.2,7.3,1468435,36608,,,,,,
10/26/2022,Ages_65-74_yrs,34618133,13.6,13,30447438,95,95,14,13.4,70,19.3,14,20.7,21319397,103058,47.8,36.7,36.7,33.7,10197294,415757
10/26/2022,Race_eth_known,199652816,99.9,75,178039178,,,99.9,78.5,55.8,99.9,99.9,99.9,98980625,464170,42.3,99.9,89.4,99.9,24830295,1103091
10/26/2022,Race_eth_NHNHOPI,649380,0.3,0.2,583801,69.9,62.9,0.3,0.3,49.7,0.3,0.3,0.3,289216,1207,39.2,0.2,0.2,0.2,52264,1920
10/26/2022,Race_eth_NHAIAN,1846016,0.9,0.7,1534001,75.8,63,0.9,0.7,47.5,0.7,0.9,1.1,726971,5197,38.7,0.6,0.5,0.6,145145,7039
10/26/2022,Race_eth_unknown,66378638,33.2,25,48894642,,,27.5,21.5,26.1,12.9,27.5,15.1,12740321,70309,38.6,11.9,10.6,11.9,2944808,131262
10/26/2022,Ages_12-17_yrs,18032474,7.1,6.8,15422693,71.3,60.9,7.1,6.8,29.7,4.1,7.1,8,4578137,39712,,,,,,
